appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1771990,1,Nyaaaanvy,Team DigitalMind,Team DigitalMind,,36.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,1.0
1858920,0,DRAGON NINJA BYOKA,EXCompute,EXCompute,,4.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
1876750,0,Minecart Madness,Luke James,Luke James,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
1863080,1,Beat Invaders,Raffaele Picca,Raffaele Picca,,111.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1877970,0,Swinging-Man,Napas Torteeka,Napas Torteeka,,9.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1823190,2,A Violent Revelry,Julian Edison,Julian Edison,,37.0,16.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1599.0,1599.0,0.0,3.0
1643520,0,Mutant,Napoleon Games,Strategy First,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,249.0,249.0,0.0,0.0
1705970,0,LATAMAN,"NEGAS, UNOS SHABOS",TOXAPEZ,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1885090,0,3D PUZZLE - Modern House,PUZZLE Games,Hede,,15.0,8.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1817670,0,SurvivalIsLand,DTMeta,DTMeta,,5.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1884140,0,Dungeon Castle,Dev by YoonLim alone,YoonLim,,1.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1874500,0,Mori,Alex Kramer,Alex Kramer,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1860110,0,Rabbit Canyon,QuickBobber,QuickBobber,,1.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,399.0,75.0,0.0
1305250,0,Grand Theft Rome,Elon3D,Elon3D,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,449.0,499.0,10.0,0.0
1833850,0,HelloWorld:ESCAPE,SandwichStudio,SandwichStudio,,15.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,119.0,199.0,40.0,0.0
1523170,0,Aladdin : Save The Princess,Enaayah Software Development and Services Private Limited,Enaayah Software Development and Services Private Limited,,17.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1897520,0,Behind Border Zone,SoerGame,SoerGame,,0.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1899270,0,Battle of Finland: Winter War,Team-K,Team-K,,7.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1433500,0,Hotel Transylvania: Scary-Tale Adventures,Drakhar Studios,Outright Games Ltd.,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1599.0,3999.0,60.0,1.0
1893530,0,Call of Senpai: Waifu Warfare 2,StrelitziaGames,StrelitziaGames,,6.0,17.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,49.0,199.0,75.0,1.0
1866610,0,Traction Control,Sailboat Studios,Sailboat Studios,,22.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1803440,0,Unnamed Arcade Engine,Pixent Interactive private limited,Pixent interactive private limited,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
671640,0,Deadburg,Reanimated Games,Reanimated Games,,62.0,8.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,799.0,50.0,1.0
1896810,0,Still be a Human,Something Isnt Right,Something Isnt Right,,20.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,1.0
1303010,0,Vincemus - Air Combat,Virtual Convict,Virtual Convict,,26.0,6.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,0.0
1906020,4,Drums Rock,Garage51,Garage51,,117.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1599.0,1999.0,20.0,0.0
1916250,0,Magic crystals 2,Rex Junior,Rex Junior,,2.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1782960,0,Laboratory of Nightmares,GiBar,RoBot,,6.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1887730,0,Valley of the Dead: MalnaZidos,Gammera Nest,Gammera Nest,,4.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,0.0
1905110,0,Fantasylandia World,MuffinGames,"Cristian Manolachi, Atomic Fabrik",,0.0,4.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,49.0,99.0,51.0,0.0
1901870,0,BadTrip:Survival Horror Shooter,Midnight Games,Midnight Games,,4.0,9.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,49.0,499.0,90.0,0.0
1911530,0,Armored Firestorm,The Nextdoor Developer,The Nextdoor Developer,,10.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1793420,0,Hovercars 3077: Underground racing,"Airem Motorsport Tech, Airem",Airem,,22.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,799.0,799.0,0.0,0.0
1922320,0,Stay away from zombies,GiBar,RoBot,,2.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
1924380,0,Dashing Orange,Nickolas Machado,Nickolas Machado,,4.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1893300,0,Planet Collectors: Episode Earth,Ilter Aksoy,Ilter Aksoy,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1916580,0,Red Yet Capers: Math vs Mayhem,"GameMaker Studios, Tazzz Web Designs",Tazzz Web Designs,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,0.0
1429350,0,MH-Zombie,Raulworks,Raulworks,,40.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,2.0
1257880,0,Glover,Piko Interactive LLC,"Piko Interactive LLC, Bleem!",,99.0,64.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,1.0
1879170,0,Invaders from another dimension,IOFiction LLC,IOFiction LLC,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,149.0,299.0,50.0,0.0
1797450,0,FPS Arena Online,Ira Williams,Ira Williams,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,799.0,799.0,0.0,0.0
1897430,0,Obsessive Revenge,GamesBraz,GamesBraz,,0.0,4.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,1.0
