appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1466620,The Guardians of Peace,The Toolshed LLC,The Toolshed LLC,,1,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1471900,Castle of the Land,Grade 9 Games,Grade 9 Games,,3,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1466840,Hyperblade,Kavasoft,Kavasoft,,4,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1454190,Nominal,Offworld Systems LLC,Offworld Systems LLC,,9,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1366770,Pecaminosa - A Pixel Noir Game,Cereal Games,Cereal Games,,36,7,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1480040,Touhou Multi Scroll Shooting 2,Skydash studio,Skydash studio,,13,1,0,"0 .. 20,000",0,0,0,0,1199,1199,0,1
1479470,Maniac Path 2,SteveClay,SteveClay,,16,3,0,"0 .. 20,000",0,0,0,0,49,499,90,0
1431350,Santa Claus in Trouble (HD),Joymania Development,Joymania Development,,106,4,0,"0 .. 20,000",0,0,0,0,999,999,0,1
1441480,Adventures of Megara: Antigone and the Living Toys,GameOn Production,Jetdogs Studios,,2,1,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1243690,Gods Will Fall,Clever Beans,Deep Silver,,46,33,0,"0 .. 20,000",0,0,0,0,599,1499,60,1
582690,Toon Shooters 2: The Freelancers,Four Fats,Four Fats,,10,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
