appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
869930,0,Up And Up,Junitre Works,Junitre Works,,4,5,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,9,-56,L
873200,0,Teleportals. I swear it's a nice game,PixelGreeds,PixelGreeds,,296,13,0,"20,000 .. 50,000",0,0,0,0,49,99,51,0,0,0.49,0.99,309,96,L
868090,0,Battle Summoners VR Basic,VoleR Creative,VoleR Creative,,33,11,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,44,75,L
943150,0,Nostos,NetEase Games,NetEase Games,,411,499,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,910,-55,L
744270,1,Rise of Ages,Anguis Game Studio,99Gamers Digital,,88,96,0,"20,000 .. 50,000",0,0,0,0,1699,1699,0,0,0,16.99,16.99,184,-52,L
748040,8,State of War : Warmonger / 蓝色警戒 (Classic 2000),Cypron Interactive,Cypronia,,382,48,0,"20,000 .. 50,000",0,0,0,0,999,999,0,33,0,9.99,9.99,430,89,L
1060630,0,ぶんまわしヒーロー / Full Swing Hero,"Katsumi Suenami, (kamiena)","Katsumi Suenami, (kamiena)",,58,9,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,67,87,L
851950,0,Heroine of the Sniper,kido,kido,,298,15,0,"20,000 .. 50,000",157,0,218,0,999,999,0,0,0,9.99,9.99,313,95,L
871190,0,Hatch,Rubeki,Rubeki,,46,4,0,"20,000 .. 50,000",0,0,0,0,299,299,0,0,0,2.99,2.99,50,92,L
1085180,1,Gunvolt Chronicles: Luminous Avenger iX,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",,553,59,0,"20,000 .. 50,000",615,0,615,0,749,1499,50,1,0,7.49,14.99,612,90,L
865040,1,Super Bit Blaster XL,Adamvision Studios,Adamvision Studios,,598,31,0,"20,000 .. 50,000",65,0,126,0,51,399,87,3,0,0.51,3.99,629,95,L
1144440,4,UnderParty,SekaiFrieden,SekaiFrieden,,513,79,0,"20,000 .. 50,000",47,0,47,0,349,699,50,5,0,3.49,6.99,592,87,L
1167570,0,PROJECT: RUN,JaredGames,JaredGames,,66,13,0,"20,000 .. 50,000",0,0,0,0,0,0,0,1,0,0,0,79,84,L
991560,6,ONE PUNCH MAN: A HERO NOBODY KNOWS,Spike Chunsoft Co. Ltd.,BANDAI NAMCO Entertainment,,571,539,0,"20,000 .. 50,000",17,0,17,0,5999,5999,0,7,0,59.99,59.99,1110,51,L
1256380,0,FPS Infinite,Phr00t's Software,Phr00t's Software,,76,12,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,88,86,L
