appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
692850,Bloodstained: Ritual of the Night,ArtPlay,505 Games,,30668,1707,0,"500,000 .. 1,000,000",996,0,850,0,1399,3999,65,185
13140,America's Army 3,U.S. Army,U.S. Army,,1660,722,0,"500,000 .. 1,000,000",570,0,18,0,0,0,0,2
895400,Deadside,Bad Pixel,Bad Pixel,,21093,5770,0,"500,000 .. 1,000,000",1478,195,945,386,1999,1999,0,956
513780,Turbo Pug DX,"SnowFlame, Back To Basics Gaming",Back To Basics Gaming,,1349,380,0,"500,000 .. 1,000,000",213,0,236,0,199,199,0,97
1022450,War Selection,Glyph Worlds,Glyph Worlds,,13932,2084,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,1053
1266680,Strobophagia | Rave Horror,Green Tile Digital,Green Tile Digital,,49,14,0,"500,000 .. 1,000,000",0,0,0,0,1999,1999,0,0
288470,Fable Anniversary,Lionhead Studios,Xbox Game Studios,,9450,1738,0,"500,000 .. 1,000,000",512,0,274,0,3499,3499,0,170
269950,X-Plane 11,Laminar Research,Laminar Research,,13544,1112,0,"500,000 .. 1,000,000",5752,1427,2242,1637,2999,2999,0,1040
347560,Terra Incognita ~ Chapter One: The Descendant,Back To Basics Gaming,Back To Basics Gaming,,664,360,0,"500,000 .. 1,000,000",216,0,215,0,199,199,0,1
282800,100% Orange Juice,Orange_Juice,Fruitbat Factory,,21602,1639,0,"500,000 .. 1,000,000",836,96,143,96,699,699,0,375
323910,SteamVR Performance Test,Valve,DNVR Prod,,3983,1244,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,24
274520,Darkwood,Acid Wizard Studio,Acid Wizard Studio,,13110,742,0,"500,000 .. 1,000,000",414,33,193,33,449,1499,70,153
298260,Only If,Creability,Creability,,3765,2208,0,"500,000 .. 1,000,000",106,0,34,0,0,0,0,1
21130,LEGO Harry Potter: Years 1-4,TT Games,Warner Bros. Interactive Entertainment,,5906,923,0,"500,000 .. 1,000,000",575,282,404,282,1999,1999,0,200
715220,Ironsight,Wiple Games,Aeria Games,,4323,1184,0,"500,000 .. 1,000,000",154,0,82,0,0,0,0,1
805550,Assetto Corsa Competizione,Kunos Simulazioni,505 Games,,20797,2000,0,"500,000 .. 1,000,000",2263,261,720,311,3999,3999,0,2976
1549970,Aliens: Fireteam Elite,Cold Iron Studios,"Cold Iron Studios, Focus Entertainment",,13174,3144,0,"500,000 .. 1,000,000",955,93,923,93,1949,2999,35,449
17450,Dragon Age: Origins,BioWare,Electronic Arts,,9437,854,0,"500,000 .. 1,000,000",1769,0,594,0,2999,2999,0,89
249050,Dungeon of the ENDLESS,AMPLITUDE Studios,SEGA,,10029,1417,0,"500,000 .. 1,000,000",550,0,273,0,1199,1199,0,77
1209040,Cyber Hunter,NetEase Games,NetEase Games,,7447,2711,0,"500,000 .. 1,000,000",140,0,80,0,0,0,0,154
436150,Governor of Poker 3,"Azerion, YoudaGames","Azerion, Youda Games Holding B.V.",,7354,3114,0,"500,000 .. 1,000,000",525,1,134,1,0,0,0,1435
690640,Trine 4: The Nightmare Prince,Frozenbyte,Modus Games,,9122,944,0,"500,000 .. 1,000,000",466,0,346,0,2999,2999,0,92
301750,RADical ROACH Remastered,DL Softworks,DL Softworks,,578,498,0,"500,000 .. 1,000,000",322,0,385,0,0,0,0,2
567640,Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",,13272,2226,0,"500,000 .. 1,000,000",1732,31,1244,31,1599,3999,60,171
879160,Battlerite Royale,Stunlock Studios,Stunlock Studios,,5920,2074,0,"500,000 .. 1,000,000",603,0,110,0,0,0,0,17
495910,Dungeon Fighter Online,Neople,Neople,,3029,1806,0,"500,000 .. 1,000,000",791,921,568,921,0,0,0,256
393420,Hurtworld,Bankroll Studios,Bankroll Studios,,23528,7330,0,"500,000 .. 1,000,000",4884,151,814,151,2499,2499,0,297
1025580,Vainglory,Super Evil Megacorp,Super Evil Megacorp,,2714,1460,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,7
